"DisMod II input and output, database QIMD 1 2011 affluent","","","","","","","","","","",""
"Females, Disease: Stroke (Rates * ), sex: Females","","","","","","","","","","",""
"Written 05/12/2016, 22:28:23","","","","","","","","","","",""
"Age","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"42","0.0004","0.0000","0.0000","0.0000","0.0012","0.0000","0.0192","19.8435","0.0000","32.5314","42.5000"
"43","0.0004","0.0000","0.0000","0.0000","0.0012","0.0000","0.0220","19.2584","0.0000","33.8672","43.5000"
"44","0.0005","0.0000","0.0000","0.0000","0.0012","0.0000","0.0266","18.7335","0.0000","36.7512","44.5000"
"45","0.0005","0.0000","0.0000","0.0000","0.0011","0.0000","0.0337","18.3060","0.0000","41.5637","45.5000"
"46","0.0006","0.0000","0.0000","0.0000","0.0011","0.0000","0.0437","0.0000","0.0000","47.9957","0.0000"
"47","0.0005","0.0000","0.0000","0.0000","0.0011","0.0000","0.0554","0.0000","0.0001","54.2599","0.0000"
"48","0.0004","0.0000","0.0000","0.0000","0.0010","0.0000","0.0672","18.0518","0.0001","58.9174","48.5000"
"49","0.0003","0.0000","0.0000","0.0000","0.0010","0.0000","0.0775","18.3909","0.0001","61.0718","49.5000"
"50","0.0002","0.0000","0.0001","0.0001","0.0010","0.0000","0.0848","18.9292","0.0001","60.2273","50.5000"
"51","0.0002","0.0000","0.0001","0.0002","0.0011","0.0000","0.0875","19.6163","0.0001","56.1798","51.5000"
"52","0.0004","0.0000","0.0001","0.0004","0.0012","0.0000","0.0844","20.3655","0.0001","49.2243","52.5000"
"53","0.0010","0.0000","0.0001","0.0005","0.0016","0.0000","0.0767","21.0705","0.0001","40.7688","53.5000"
"54","0.0018","0.0000","0.0001","0.0008","0.0021","0.0000","0.0659","21.6346","0.0001","32.0834","54.5000"
"55","0.0029","0.0000","0.0001","0.0010","0.0029","0.0000","0.0537","21.9851","0.0002","24.0496","55.5000"
"56","0.0042","0.0000","0.0001","0.0012","0.0038","0.0000","0.0414","22.0843","0.0002","17.2557","56.5000"
"57","0.0058","0.0000","0.0001","0.0014","0.0050","0.0000","0.0308","21.9361","0.0002","12.0737","57.5000"
